scaffold	start	end	mid	sites	lnL
WW_tarseq_419_arrow	669769	671426	670658	50	-713.74832
WW_tarseq_419_arrow	671446	677487	672860	50	-825.27097
WW_tarseq_419_arrow	677517	679628	678406	50	-764.13458
WW_tarseq_419_arrow	679733	684537	682534	50	NA
WW_tarseq_419_arrow	684595	686453	685561	50	-574.93413
WW_tarseq_419_arrow	686477	688314	687145	50	-971.61892
WW_tarseq_419_arrow	688339	689506	689014	50	-675.57925
WW_tarseq_419_arrow	689512	695440	692698	50	-1092.68945
WW_tarseq_419_arrow	695526	697315	696364	50	-1035.95525
WW_tarseq_419_arrow	697608	706346	700148	50	-700.57057
WW_tarseq_419_arrow	706384	708853	707749	50	-919.17985
WW_tarseq_419_arrow	708909	711624	710349	50	-1005.79937
WW_tarseq_419_arrow	711627	714823	713014	50	-1029.17559
WW_tarseq_419_arrow	715168	719281	717774	50	-1300.44051
WW_tarseq_419_arrow	719285	722148	720869	50	-935.19429
WW_tarseq_419_arrow	722152	725617	724221	50	-468.35340
WW_tarseq_419_arrow	725628	728240	727120	50	-445.31995
WW_tarseq_419_arrow	728242	730764	729877	50	-956.20688
WW_tarseq_419_arrow	730765	733941	732660	50	-985.04646
WW_tarseq_419_arrow	733970	737352	735888	50	-796.81959
WW_tarseq_419_arrow	737486	740685	739003	50	-619.15230
WW_tarseq_419_arrow	740768	743846	742128	50	-733.20406
WW_tarseq_419_arrow	743879	746812	745111	50	-885.75542
WW_tarseq_419_arrow	746842	751721	748820	50	-1352.30350
WW_tarseq_419_arrow	751844	754038	752701	50	-926.94972
WW_tarseq_419_arrow	754077	757264	755796	50	-903.88140
WW_tarseq_419_arrow	757320	762713	760384	50	-908.83777
WW_tarseq_419_arrow	762738	765403	763939	50	-909.35766
WW_tarseq_419_arrow	765407	768066	767148	50	-1254.38358
WW_tarseq_419_arrow	768067	772619	770425	50	-1129.69849
WW_tarseq_419_arrow	773886	776710	775340	50	-1359.30713
WW_tarseq_419_arrow	776734	780148	778536	50	-866.13037
WW_tarseq_419_arrow	780149	782060	781178	50	-982.57357
WW_tarseq_419_arrow	782065	784015	782977	50	-852.07429
WW_tarseq_419_arrow	784023	787639	786016	50	-851.12691
WW_tarseq_419_arrow	787690	791986	789869	50	-844.79506
WW_tarseq_419_arrow	792051	796124	794118	50	-1061.80253
WW_tarseq_419_arrow	796125	800322	798294	50	-987.42250
WW_tarseq_419_arrow	800323	802181	801245	50	-827.83846
WW_tarseq_419_arrow	802240	805089	803544	50	-767.72306
WW_tarseq_419_arrow	805249	808183	806873	50	-914.37828
WW_tarseq_419_arrow	808266	810127	808961	50	-701.91766
WW_tarseq_419_arrow	810130	811612	810907	50	-817.42381
WW_tarseq_419_arrow	811617	815727	814243	50	-1224.30839
WW_tarseq_419_arrow	815731	820161	817375	50	-982.19385
WW_tarseq_419_arrow	820168	823731	821545	50	-910.29651
WW_tarseq_419_arrow	823782	825729	824940	50	-918.16427
WW_tarseq_419_arrow	825786	827444	826454	50	-1161.70036
WW_tarseq_419_arrow	827453	829748	828678	50	-957.72253
WW_tarseq_419_arrow	829851	832123	830928	50	-779.29554
WW_tarseq_419_arrow	832247	834734	833605	50	-1023.80543
WW_tarseq_419_arrow	834742	837491	835898	50	-1009.00424
WW_tarseq_419_arrow	837516	841856	840187	50	-608.33625
WW_tarseq_419_arrow	841857	844793	843505	50	-584.06245
WW_tarseq_419_arrow	844798	848360	846457	50	-1551.22287
WW_tarseq_419_arrow	848424	851229	850260	50	-1210.45283
WW_tarseq_419_arrow	851254	854094	852678	50	-1189.14062
WW_tarseq_419_arrow	854187	856686	855828	50	-862.70579
WW_tarseq_419_arrow	856723	860421	858742	50	-1159.27183
WW_tarseq_419_arrow	860465	863424	862204	50	-958.56107
WW_tarseq_419_arrow	863450	866671	864732	50	-798.80688
WW_tarseq_419_arrow	866712	870258	868722	50	-1008.11730
WW_tarseq_419_arrow	870322	872987	871762	50	-768.36051
WW_tarseq_419_arrow	873033	875674	874299	50	-715.32779
WW_tarseq_419_arrow	875719	879843	877668	50	-748.58832
WW_tarseq_419_arrow	879915	887923	883078	50	-1087.37772
WW_tarseq_419_arrow	888973	891305	890140	50	-1099.52053
WW_tarseq_419_arrow	891308	893143	892305	50	-817.09068
WW_tarseq_419_arrow	893152	895806	894578	50	-1041.46517
WW_tarseq_419_arrow	895814	899430	897927	50	-882.35846
WW_tarseq_419_arrow	899433	903073	901038	50	-830.81921
WW_tarseq_419_arrow	903166	905661	904227	50	-1054.75711
WW_tarseq_419_arrow	905681	911405	908470	50	-708.98709
WW_tarseq_419_arrow	911662	913460	912754	50	-672.99134
WW_tarseq_419_arrow	913539	916036	914731	50	-680.41989
WW_tarseq_419_arrow	916547	919137	917632	50	-778.46186
WW_tarseq_419_arrow	919151	920541	919833	50	-1107.57384
WW_tarseq_419_arrow	920551	923539	921928	50	-1025.46356
WW_tarseq_419_arrow	923622	925460	924722	50	-716.24278
WW_tarseq_419_arrow	925466	927216	926312	50	-587.60983
WW_tarseq_419_arrow	927323	929583	928178	50	-684.14215
WW_tarseq_419_arrow	929587	932367	930837	50	-1083.77861
WW_tarseq_419_arrow	932469	935103	933915	50	-1159.96897
WW_tarseq_419_arrow	935114	936862	936034	50	-1335.01748
WW_tarseq_419_arrow	936868	938489	937446	50	-1110.52439
WW_tarseq_419_arrow	938535	941346	939847	50	-1283.34869
WW_tarseq_419_arrow	941430	945706	943351	50	-751.44636
WW_tarseq_419_arrow	945718	947394	946367	50	-855.16818
WW_tarseq_419_arrow	947401	949407	948076	50	-976.53816
WW_tarseq_419_arrow	949545	952455	951117	50	-849.62229
WW_tarseq_419_arrow	952460	955008	953482	50	-833.35953
WW_tarseq_419_arrow	955064	957856	956323	50	-612.15791
WW_tarseq_419_arrow	957912	960644	959224	50	-1049.77693
WW_tarseq_419_arrow	960847	963369	962007	50	NA
WW_tarseq_419_arrow	963373	964619	963954	50	-1104.64605
WW_tarseq_419_arrow	964644	971817	969367	50	-1187.32280
WW_tarseq_419_arrow	971828	973510	972674	50	-1118.25897
WW_tarseq_419_arrow	973573	975829	974482	50	-967.23852
WW_tarseq_419_arrow	975837	977161	976389	50	-549.61666
WW_tarseq_419_arrow	977170	979856	978572	50	-472.04101
WW_tarseq_419_arrow	979865	981688	980650	50	-657.82622
WW_tarseq_419_arrow	981690	985601	983500	50	-1011.64752
WW_tarseq_419_arrow	985647	987346	986409	50	-645.51336
WW_tarseq_419_arrow	987347	990204	989033	50	-845.45872
WW_tarseq_419_arrow	990205	993481	991760	50	-876.56057
WW_tarseq_419_arrow	993559	996088	994814	50	-886.41598
WW_tarseq_419_arrow	996100	999240	997524	50	-848.09624
WW_tarseq_419_arrow	999263	1002584	1000851	50	-618.75844
WW_tarseq_419_arrow	1002607	1005257	1003774	50	-1002.07970
WW_tarseq_419_arrow	1005331	1009970	1007513	50	-1007.61109
WW_tarseq_419_arrow	1009993	1011278	1010472	50	-738.04574
WW_tarseq_419_arrow	1011305	1015583	1013558	50	-1049.08256
WW_tarseq_419_arrow	1015589	1017604	1016461	50	-884.53527
WW_tarseq_419_arrow	1017609	1020706	1018775	50	-723.02413
WW_tarseq_419_arrow	1020936	1023988	1022857	50	-958.37569
WW_tarseq_419_arrow	1024052	1029454	1026428	50	-945.97088
WW_tarseq_419_arrow	1029461	1032246	1031270	50	-773.81507
WW_tarseq_419_arrow	1032249	1034848	1033591	50	-954.34516
WW_tarseq_419_arrow	1034952	1039095	1036928	50	-806.48899
WW_tarseq_419_arrow	1039131	1047100	1042420	50	-1070.50131
WW_tarseq_419_arrow	1047110	1050622	1048682	50	-920.86883
WW_tarseq_419_arrow	1050687	1053954	1052028	50	-844.96592
WW_tarseq_419_arrow	1053999	1055231	1054541	50	-746.01694
WW_tarseq_419_arrow	1055601	1057874	1056942	50	-824.89085
WW_tarseq_419_arrow	1057926	1059868	1058772	50	-683.28640
WW_tarseq_419_arrow	1059892	1061794	1060893	50	-732.47629
WW_tarseq_419_arrow	1061820	1065073	1063290	50	-1584.24195
WW_tarseq_419_arrow	1065090	1069301	1067136	50	-1171.54524
WW_tarseq_419_arrow	1069302	1071497	1070411	50	-894.62622
WW_tarseq_419_arrow	1071516	1074345	1072790	50	-786.08555
WW_tarseq_419_arrow	1074374	1078437	1076394	50	-895.85075
WW_tarseq_419_arrow	1078449	1081439	1079945	50	-1177.77961
WW_tarseq_419_arrow	1081923	1085237	1084012	50	-782.30297
WW_tarseq_419_arrow	1085242	1088980	1087254	50	-1292.18139
WW_tarseq_419_arrow	1089037	1092318	1091012	50	-1099.19636
WW_tarseq_419_arrow	1092321	1094125	1093305	50	-1044.28698
WW_tarseq_419_arrow	1094133	1097002	1095564	50	-1053.18583
WW_tarseq_419_arrow	1097009	1099872	1098372	50	-957.40975
WW_tarseq_419_arrow	1099943	1104285	1102646	50	-1236.69805
WW_tarseq_419_arrow	1104287	1107356	1105569	50	-1063.27356
WW_tarseq_419_arrow	1107380	1110864	1109420	50	-908.94821
WW_tarseq_419_arrow	1110870	1113917	1112386	50	-776.10471
WW_tarseq_419_arrow	1113947	1117914	1115704	50	-982.62845
WW_tarseq_419_arrow	1117931	1121867	1119487	50	-859.45728
WW_tarseq_419_arrow	1121879	1131169	1124274	50	-1032.20113
WW_tarseq_419_arrow	1131187	1133710	1132182	50	-1012.61246
WW_tarseq_419_arrow	1133728	1138875	1136446	50	-808.97600
WW_tarseq_419_arrow	1138979	1142230	1140565	50	-548.12924
WW_tarseq_419_arrow	1142267	1144179	1143034	50	-691.49694
WW_tarseq_419_arrow	1144238	1147388	1145657	50	-901.22126
WW_tarseq_419_arrow	1147470	1150204	1148856	50	-790.79298
WW_tarseq_419_arrow	1150219	1152423	1151201	50	-999.28764
WW_tarseq_419_arrow	1152453	1154251	1153324	50	-1117.84763
WW_tarseq_419_arrow	1154272	1158995	1156589	50	-923.11410
WW_tarseq_419_arrow	1159008	1162006	1160439	50	-898.07469
WW_tarseq_419_arrow	1162021	1163669	1162853	50	-874.25255
WW_tarseq_419_arrow	1163712	1165823	1164718	50	-979.77193
WW_tarseq_419_arrow	1165866	1168281	1167258	50	-801.69786
WW_tarseq_419_arrow	1168330	1170867	1169725	50	-971.93479
WW_tarseq_419_arrow	1170882	1173885	1172225	50	-934.02637
WW_tarseq_419_arrow	1173987	1175664	1174789	50	-705.83763
WW_tarseq_419_arrow	1175692	1176953	1176203	50	-990.47975
WW_tarseq_419_arrow	1176954	1179567	1178265	50	-989.96928
WW_tarseq_419_arrow	1179808	1182302	1181099	50	-748.15976
WW_tarseq_419_arrow	1182349	1184654	1183581	50	-648.57880
WW_tarseq_419_arrow	1184664	1190806	1187175	50	-1025.52016
WW_tarseq_419_arrow	1190821	1192343	1191489	50	-1061.00603
WW_tarseq_419_arrow	1192408	1193734	1193062	50	-717.21526
WW_tarseq_419_arrow	1194053	1197118	1195420	50	-846.70795
WW_tarseq_419_arrow	1197140	1201501	1199291	50	-630.53081
WW_tarseq_419_arrow	1201713	1205581	1203667	50	-787.35669
WW_tarseq_419_arrow	1205710	1209943	1207615	50	-873.15498
WW_tarseq_419_arrow	1210132	1212938	1211541	50	-701.58237
WW_tarseq_419_arrow	1212958	1216252	1215011	50	-823.97140
WW_tarseq_419_arrow	1216257	1218430	1217523	50	-1076.51065
WW_tarseq_419_arrow	1218451	1223896	1221421	50	-712.42565
WW_tarseq_419_arrow	1223960	1227249	1225691	50	-929.69207
WW_tarseq_419_arrow	1227250	1230514	1228677	50	-902.45557
WW_tarseq_419_arrow	1230566	1233338	1231801	50	-834.18895
WW_tarseq_419_arrow	1233344	1235477	1234322	50	-682.41778
WW_tarseq_419_arrow	1235517	1237279	1236603	50	-745.97263
WW_tarseq_419_arrow	1237297	1242732	1240496	50	-879.52460
WW_tarseq_419_arrow	1242797	1246452	1244884	50	-1302.61592
WW_tarseq_419_arrow	1246477	1250079	1248348	50	-880.87365
WW_tarseq_419_arrow	1250091	1252844	1251121	50	-757.93869
WW_tarseq_419_arrow	1252854	1255622	1254183	50	-1085.88603
WW_tarseq_419_arrow	1255710	1257749	1256758	50	-761.12293
WW_tarseq_419_arrow	1257752	1260958	1259176	50	-1253.13317
WW_tarseq_419_arrow	1260973	1264715	1263056	50	-812.80314
WW_tarseq_419_arrow	1264761	1266806	1265728	50	-852.91422
WW_tarseq_419_arrow	1266831	1269937	1268371	50	-801.36793
WW_tarseq_419_arrow	1269968	1272418	1271393	50	-773.25532
WW_tarseq_419_arrow	1272431	1277052	1274726	50	-1164.92392
WW_tarseq_419_arrow	1277088	1279873	1278454	50	-999.49464
WW_tarseq_419_arrow	1279874	1282328	1280939	50	-740.59256
WW_tarseq_419_arrow	1282344	1284644	1283523	50	-940.17894
WW_tarseq_419_arrow	1284697	1287885	1286544	50	-726.06016
WW_tarseq_419_arrow	1287959	1292312	1290242	50	-765.97113
WW_tarseq_419_arrow	1292323	1294089	1293257	50	-596.94950
WW_tarseq_419_arrow	1294090	1296990	1295299	50	-1066.39889
WW_tarseq_419_arrow	1297012	1302385	1300014	50	-834.47487
WW_tarseq_419_arrow	1302391	1303577	1302983	50	NA
WW_tarseq_419_arrow	1303603	1305314	1304535	50	-755.35492
WW_tarseq_419_arrow	1305321	1313008	1306546	50	-458.00285
WW_tarseq_419_arrow	1313014	1316002	1314538	50	-864.84835
WW_tarseq_419_arrow	1316013	1318990	1317622	50	-638.31960
WW_tarseq_419_arrow	1319030	1322261	1321054	50	-957.86111
WW_tarseq_419_arrow	1322274	1324194	1323410	50	-758.30384
WW_tarseq_419_arrow	1324612	1329625	1326533	50	-1063.95333
WW_tarseq_419_arrow	1329629	1336301	1331575	50	-744.92249
WW_tarseq_419_arrow	1336488	1341200	1339951	50	-1438.62498
WW_tarseq_419_arrow	1341203	1345961	1344744	50	-1067.75614
WW_tarseq_419_arrow	1345967	1347400	1346989	50	-915.62557
WW_tarseq_419_arrow	1347401	1348749	1347938	50	-1207.62728
WW_tarseq_419_arrow	1348790	1360983	1354208	50	-833.14597
WW_tarseq_419_arrow	1360995	1363922	1362736	50	-611.77442
WW_tarseq_419_arrow	1363953	1366390	1365031	50	-895.79107
WW_tarseq_419_arrow	1366399	1368478	1367452	50	-806.72323
WW_tarseq_419_arrow	1368486	1370218	1369446	50	-769.53247
WW_tarseq_419_arrow	1370229	1372316	1371122	50	-859.23637
WW_tarseq_419_arrow	1372352	1374563	1373331	50	-612.50029
WW_tarseq_419_arrow	1374637	1377759	1376082	50	-628.95134
WW_tarseq_419_arrow	1377849	1380505	1379424	50	-738.90122
WW_tarseq_419_arrow	1380529	1383665	1382095	50	-608.94639
WW_tarseq_419_arrow	1383681	1388771	1386594	50	-993.74779
WW_tarseq_419_arrow	1388772	1392463	1390878	50	-797.01885
WW_tarseq_419_arrow	1392503	1394175	1393268	50	-777.94184
WW_tarseq_419_arrow	1394188	1398310	1395770	50	-974.92542
WW_tarseq_419_arrow	1398329	1402734	1401462	50	-776.25882
WW_tarseq_419_arrow	1402738	1405168	1403900	50	-1140.02799
WW_tarseq_419_arrow	1405219	1407971	1406577	50	-1133.74501
WW_tarseq_419_arrow	1407990	1410710	1409375	50	-752.86382
WW_tarseq_419_arrow	1410781	1414832	1412938	50	-683.43074
WW_tarseq_419_arrow	1414855	1420260	1417920	50	-671.93606
WW_tarseq_419_arrow	1420265	1422274	1421062	50	-725.68353
WW_tarseq_419_arrow	1422426	1425047	1423729	50	-669.67947
WW_tarseq_419_arrow	1425070	1428551	1426716	50	-740.00610
WW_tarseq_419_arrow	1428626	1431183	1429703	50	-830.57263
WW_tarseq_419_arrow	1431184	1433591	1432303	50	-672.35432
WW_tarseq_419_arrow	1433621	1435637	1434739	50	-655.43279
WW_tarseq_419_arrow	1435665	1437203	1436368	50	-964.84483
WW_tarseq_419_arrow	1437389	1440098	1438399	50	-681.00875
WW_tarseq_419_arrow	1440131	1443114	1441504	50	-659.25711
